channel,step_s,from_target,to_target,y0,t63_ms,t90_ms,rise_10_90_ms,settle_10pct_ms,ss_mean,ss_error,reached_90,settled_10pct
L,2.368,0.0,470.0,0.0,401.0000000000002,588.0000000000001,368.9999999999998,5497.999999999999,450.8745173745174,-19.12548262548262,True,True
L,8.363,470.0,705.0,477.3,,,,,359.00334572490704,-345.99665427509296,False,False
L,14.355,705.0,470.0,356.9,282.0,465.9999999999993,372.9999999999993,282.0,458.6803773584905,-11.319622641509511,True,True
L,20.328,470.0,235.0,462.9,,,,,460.8716417910448,225.8716417910448,False,False
L,26.321,235.0,470.0,461.1,945.999999999998,945.999999999998,0.0,5478.999999999999,457.212213740458,-12.787786259541974,True,True
L,32.425,470.0,0.0,480.2,1765.0000000000005,,,,120.40308123249298,120.40308123249298,False,False
R,2.368,0.0,470.0,0.0,27.000000000000135,401.0000000000002,374.0000000000001,5497.999999999999,465.361776061776,-4.638223938223973,True,True
R,8.363,470.0,235.0,480.3,256.99999999999966,,,,361.37843866171005,126.37843866171005,False,False
R,14.355,235.0,470.0,362.5,282.0,465.9999999999993,465.9999999999993,4803.999999999998,481.37735849056605,11.377358490566053,True,True
R,20.328,470.0,705.0,482.0,,,,,479.0208955223882,-225.97910447761183,False,False
R,26.321,705.0,470.0,491.8,0.0,195.99999999999795,195.99999999999795,570.999999999998,467.0832061068702,-2.9167938931298067,True,True
R,32.425,470.0,0.0,480.8,1765.0000000000005,,,,125.72100840336137,125.72100840336137,False,False
split_L_minus_R,8.363,0.0,470.0,-3.0,,,,,-2.375092936802979,-472.37509293680296,False,False
split_L_minus_R,14.355,470.0,0.0,-5.600000000000023,92.99999999999997,92.99999999999997,0.0,5184.000000000001,-22.696981132075482,-22.696981132075482,True,True
split_L_minus_R,20.328,0.0,-470.0,-19.100000000000023,,,,,-18.149253731343276,451.85074626865674,False,False
split_L_minus_R,26.321,-470.0,0.0,-30.69999999999999,384.999999999998,384.999999999998,384.999999999998,0.0,-5.3179271708683435,-5.3179271708683435,True,True
