step_s,side,from_hz,to_hz,y0_hz,t10_ms,t63_ms,t90_ms,rise_10_90_ms,settle_10pct_ms,overshoot_pct,ss_mean_hz,ss_error_hz,reached_90,settled_10pct
3.333,L,0.0,282.0,0.0,238.9999999999999,238.9999999999999,238.9999999999999,0.0,,70.70921985815602,451.6844621513944,169.68446215139443,True,False
3.333,R,0.0,282.0,0.0,48.99999999999993,48.99999999999993,48.99999999999993,0.0,,85.42553191489361,459.4852589641435,177.4852589641435,True,False
9.313,L,282.0,470.0,459.5,0.0,689.9999999999995,689.9999999999995,689.9999999999995,4465.0,3.8936170212765986,471.33598484848477,1.3359848484847703,True,True
9.313,R,282.0,470.0,482.4,0.0,0.0,125.99999999999945,125.99999999999945,4276.0,15.999999999999998,470.0454545454545,0.045454545454504114,True,True
15.312,L,470.0,658.0,459.9,2612.0,,,,,0.0,486.1624999999999,-171.8375000000001,False,False
15.312,R,470.0,658.0,461.6,724.9999999999997,,,,,0.0,486.5735294117647,-171.4264705882353,False,False
21.417,L,658.0,470.0,486.1,0.0,264.99999999999704,264.99999999999704,264.99999999999704,,14.574468085106382,458.8692913385826,-11.130708661417373,True,False
21.417,R,658.0,470.0,487.2,77.9999999999994,77.9999999999994,77.9999999999994,0.0,5923.999999999999,13.255319148936174,459.14685039370073,-10.853149606299269,True,True
27.403,L,470.0,282.0,401.5,,,,,,0.0,440.9834645669292,158.98346456692917,False,False
27.403,R,470.0,282.0,407.7,,,,,,0.0,456.0,174.0,False,False
33.379,L,282.0,0.0,405.8,563.0000000000024,2023.0000000000032,,,,0.0,114.49805013927575,114.49805013927575,False,False
33.379,R,282.0,0.0,428.2,197.00000000000273,1841.9999999999986,,,,0.0,103.77103064066851,103.77103064066851,False,False
